Hotel,IsCanceled,LeadTime,ArrivalDateMonth,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,BookingChanges,DepositType,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests
2272,Resort Hotel,0,59,10,8,0,3,2,0.0,0,BB,PRT,Corporate,0,0,0,A,0,No Deposit,50,Contract,45.0,0,0
2486,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2487,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2488,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2490,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2491,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2492,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2493,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2494,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2496,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2497,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2498,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2499,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2500,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2501,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2502,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2503,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2504,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2506,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2507,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2508,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,PRT,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
2510,Resort Hotel,0,47,10,19,1,4,2,0.0,0,HB,ESP,Groups,0,0,0,A,0,No Deposit,47,Transient-Party,76.8,0,0
3106,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3107,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3108,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3111,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3112,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3113,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3115,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3116,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3117,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3118,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,PRT,Offline TA/TO,0,0,0,A,1,No Deposit,65,Transient-Party,71.0,0,0
3119,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3120,Resort Hotel,0,105,11,18,2,4,1,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,18.5,0,0
3121,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3123,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3124,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3125,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3128,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3131,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3132,Resort Hotel,0,105,11,18,2,4,2,0.0,0,Undefined,ESP,Offline TA/TO,0,0,0,A,0,No Deposit,65,Transient-Party,69.0,0,0
3648,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3649,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3650,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3651,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3653,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3654,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3655,Resort Hotel,0,165,12,30,0,4,1,0.0,0,HB,PRT,Groups,0,0,0,A,1,No Deposit,122,Transient-Party,84.5,0,0
3658,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3659,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3660,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3661,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,1,No Deposit,122,Transient-Party,136.5,0,0
3662,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3663,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3665,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3666,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,2,No Deposit,122,Transient-Party,136.5,0,0
3668,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3669,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3670,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3672,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3673,Resort Hotel,0,165,12,30,0,4,1,0.0,0,HB,PRT,Groups,0,0,0,A,1,No Deposit,122,Transient-Party,84.5,0,0
3674,Resort Hotel,0,165,12,30,0,4,1,0.0,0,HB,PRT,Groups,0,0,0,A,1,No Deposit,122,Transient-Party,84.5,0,0
3676,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,138.5,0,0
3677,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3678,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3679,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3680,Resort Hotel,0,165,12,30,0,4,3,0.0,0,Undefined,PRT,Groups,0,0,0,A,1,No Deposit,122,Transient-Party,192.25,0,0
3681,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3687,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3688,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
3689,Resort Hotel,0,165,12,30,0,4,2,0.0,0,Undefined,PRT,Groups,0,0,0,A,0,No Deposit,122,Transient-Party,136.5,0,0
